EmployeeID,AttendancePercentage,LeavesTaken,JobSatisfaction,WorkLifeBalance,Attrition
EMP00762,86.2,24,2,1,No
EMP00763,88.3,18,2,4,No
EMP00764,97.2,30,2,5,No
EMP00765,92.0,16,1,3,No
EMP00766,96.6,29,3,1,No
EMP00767,79.5,30,3,4,No
EMP00768,94.4,30,5,4,No
EMP00769,89.3,17,3,4,No
EMP00770,87.6,17,4,1,No
EMP00771,75.9,6,4,2,No
EMP00772,83.5,12,1,3,No
EMP00773,85.6,19,1,4,No
EMP00774,96.9,9,5,4,No
EMP00775,94.3,17,2,4,No
EMP00776,83.9,23,2,2,No
EMP00777,94.3,3,2,1,Yes
EMP00778,83.5,13,2,2,No
EMP00779,91.2,7,3,2,Yes
EMP00780,90.4,9,5,1,No
EMP00781,94.3,20,4,5,No
EMP00782,87.2,27,5,1,No
EMP00783,82.0,17,4,3,No
EMP00784,97.7,12,4,2,No
EMP00785,85.9,3,5,5,No
EMP00786,97.8,15,2,1,No
EMP00787,98.7,4,1,2,No
EMP00788,78.4,5,3,1,Yes
EMP00789,88.9,15,5,4,No
EMP00790,95.0,10,1,3,No
EMP00791,85.0,20,4,3,No
EMP00792,81.1,19,3,4,No
EMP00793,77.6,24,3,5,Yes
EMP00794,90.5,10,5,5,No
EMP00795,97.7,6,1,2,No
EMP00796,84.4,26,1,4,No
EMP00797,98.1,23,3,1,Yes
EMP00798,81.2,27,3,3,No
EMP00799,85.7,26,1,5,No
EMP00800,96.8,29,3,1,No
EMP00801,81.9,3,1,4,No
EMP00802,75.8,10,3,4,Yes
EMP00803,93.3,16,2,1,No
EMP00804,91.3,19,5,4,No
EMP00805,98.0,14,3,1,No
EMP00806,83.9,6,4,2,No
EMP00807,80.3,9,2,4,No
EMP00808,97.5,13,3,5,No
EMP00809,82.5,10,1,5,No
EMP00810,94.4,26,3,4,No
EMP00811,88.9,23,4,5,No
EMP00812,93.8,5,3,3,No
EMP00813,77.5,7,4,5,No
EMP00814,96.3,9,1,3,No
EMP00815,98.7,13,4,1,No
EMP00816,83.5,7,4,4,No
EMP00817,91.2,20,3,4,No
EMP00818,83.4,0,1,3,No
EMP00819,90.8,15,4,1,No
EMP00820,93.6,15,5,5,No
EMP00821,95.4,30,5,4,No
EMP00822,89.8,14,3,2,No
EMP00823,96.1,24,3,4,No
EMP00824,89.7,27,1,3,No
EMP00825,83.2,11,4,5,No
EMP00826,81.3,13,3,2,No
EMP00827,98.3,18,2,4,No
EMP00828,80.4,2,4,5,No
EMP00829,87.9,3,2,3,No
EMP00830,97.9,11,2,1,No
EMP00831,86.4,27,4,1,No
EMP00832,84.0,13,3,3,No
EMP00833,96.9,29,2,3,No
EMP00834,76.8,2,3,2,No
EMP00835,86.1,7,1,5,No
EMP00836,99.1,26,2,3,Yes
EMP00837,88.2,30,3,5,No
EMP00838,76.9,12,1,1,No
EMP00839,83.8,8,4,4,No
EMP00840,91.0,17,3,4,No
EMP00841,82.5,18,3,3,Yes
EMP00842,97.4,11,3,2,No
EMP00843,83.3,23,1,5,No
EMP00844,96.9,19,2,3,No
EMP00845,76.3,1,3,1,No
EMP00846,79.3,30,4,4,Yes
EMP00847,98.9,20,1,5,No
EMP00848,79.2,13,3,4,No
EMP00849,93.0,22,5,1,No
EMP00850,88.7,5,4,4,No
EMP00851,80.0,15,5,3,No
EMP00852,75.8,14,2,1,No
EMP00853,98.1,0,2,1,No
EMP00854,90.0,18,2,4,No
EMP00855,76.6,5,5,3,No
EMP00856,79.2,6,5,4,No
EMP00857,97.8,25,2,1,No
EMP00858,76.9,16,1,3,No
EMP00859,79.8,18,5,5,Yes
EMP00860,86.2,4,1,1,No
EMP00861,84.1,27,4,2,No
EMP00862,90.2,2,3,1,No
EMP00863,85.5,30,5,3,No
EMP00864,93.6,21,5,5,No
EMP00865,91.7,18,1,5,Yes
EMP00866,82.3,23,3,5,No
EMP00867,76.5,29,3,2,No
EMP00868,88.9,22,5,4,No
EMP00869,87.1,18,1,3,No
EMP00870,76.3,9,1,3,No
EMP00871,94.7,13,3,2,No
EMP00872,89.3,7,3,4,No
EMP00873,90.5,27,4,1,No
EMP00874,89.7,12,1,2,No
EMP00875,84.6,26,1,1,No
EMP00876,78.9,10,4,4,No
EMP00877,92.5,24,4,5,No
EMP00878,98.3,0,5,3,No
EMP00879,82.4,7,5,3,No
EMP00880,93.5,12,2,4,No
EMP00881,98.9,4,3,3,No
EMP00882,97.7,12,2,3,No
EMP00883,94.0,12,2,4,No
EMP00884,90.3,24,5,5,No
EMP00885,99.4,24,2,3,No
EMP00886,97.2,30,3,2,No
EMP00887,85.3,0,2,2,No
EMP00888,92.3,16,5,2,No
EMP00889,99.7,20,2,3,No
EMP00890,80.9,23,3,4,No
EMP00891,93.1,22,5,4,No
EMP00892,78.1,7,2,4,Yes
EMP00893,97.1,29,3,4,Yes
EMP00894,75.6,18,2,1,No
EMP00895,80.7,27,1,5,No
EMP00896,79.7,1,1,1,No
EMP00897,93.2,0,3,3,No
EMP00898,92.4,3,5,5,No
EMP00899,99.7,29,1,1,No
EMP00900,80.5,2,3,5,No
EMP00901,85.8,11,5,3,No
EMP00902,79.9,19,2,4,No
EMP00903,99.0,26,2,5,Yes
EMP00904,77.5,18,5,3,No
EMP00905,92.0,15,3,3,No
EMP00906,78.9,11,5,2,No
EMP00907,95.0,28,5,1,No
EMP00908,76.0,6,3,5,Yes
EMP00909,88.0,3,1,3,No
EMP00910,86.2,23,5,3,No
EMP00911,90.0,17,5,5,Yes
EMP00912,76.7,6,1,1,No
EMP00913,83.6,19,5,1,No
EMP00914,95.8,8,2,3,No
EMP00915,77.2,8,1,1,Yes
EMP00916,97.9,30,1,5,Yes
EMP00917,90.6,24,3,2,No
EMP00918,97.1,12,2,2,No
EMP00919,94.0,29,2,1,No
EMP00920,80.2,23,2,2,No
EMP00921,80.3,17,4,4,No
EMP00922,85.7,24,5,3,No
EMP00923,82.9,18,3,2,No
EMP00924,99.0,0,3,2,No
EMP00925,97.1,20,5,4,No
EMP00926,89.2,0,5,5,No
EMP00927,92.2,19,2,5,No
EMP00928,83.9,28,2,4,No
EMP00929,80.1,12,4,3,No
EMP00930,83.7,29,4,4,Yes
EMP00931,95.4,3,3,4,No
EMP00932,86.3,21,5,2,No
EMP00933,77.3,25,5,2,No
EMP00934,87.9,5,2,4,No
EMP00935,83.1,4,1,5,No
EMP00936,92.9,0,3,1,No
EMP00937,92.4,0,4,4,No
EMP00938,86.7,11,1,1,No
EMP00939,92.3,8,3,3,No
EMP00940,96.3,16,5,4,No
EMP00941,81.9,13,1,5,Yes
EMP00942,87.4,20,2,1,No
EMP00943,75.7,5,3,3,No
EMP00944,83.3,26,3,1,No
EMP00945,86.4,19,5,4,Yes
EMP00946,91.5,5,4,1,No
EMP00947,83.3,20,5,3,No
EMP00948,87.9,30,3,2,No
EMP00949,80.7,19,4,4,No
EMP00950,83.1,18,2,1,No
EMP00951,99.4,11,1,4,No
EMP00952,99.4,3,1,1,No
EMP00953,88.4,21,1,4,No
EMP00954,93.0,5,5,1,No
EMP00955,78.2,28,5,2,No
EMP00956,99.8,14,3,3,No
EMP00957,90.4,9,3,5,No
EMP00958,96.7,11,3,1,No
EMP00959,87.0,5,3,2,No
EMP00960,86.4,21,5,2,No
EMP00961,96.9,26,2,4,No
EMP00962,99.8,21,1,2,No
EMP00963,79.8,9,3,1,No
EMP00964,89.9,8,2,2,Yes
EMP00965,82.2,13,4,2,No
EMP00966,86.1,8,4,2,No
EMP00967,97.9,30,2,3,No
EMP00968,81.7,27,2,1,No
EMP00969,79.8,2,5,3,No
EMP00970,88.6,20,3,4,No
EMP00971,75.1,3,3,5,No
EMP00972,97.6,12,1,1,No
EMP00973,89.3,23,2,2,No
EMP00974,83.2,20,3,4,No
EMP00975,99.9,24,4,3,No
EMP00976,92.8,10,4,5,No
EMP00977,92.5,10,1,2,No
EMP00978,90.0,2,2,5,No
EMP00979,86.7,16,4,2,No
EMP00980,85.2,4,5,4,No
EMP00981,84.1,23,3,1,No
EMP00982,90.6,4,1,2,No
EMP00983,95.6,0,1,3,No
EMP00984,79.4,24,1,3,No
EMP00985,75.0,9,5,3,No
EMP00986,99.5,7,4,5,No
EMP00987,79.8,26,5,5,No
EMP00988,79.0,5,1,3,No
EMP00989,97.0,21,3,4,No
EMP00990,88.7,4,2,4,No
EMP00991,87.8,11,1,4,No
EMP00992,79.9,10,1,4,No
EMP00993,87.5,4,3,4,No
EMP00994,86.1,12,3,5,No
EMP00995,87.6,28,5,1,No
EMP00996,76.0,13,3,2,No
EMP00997,77.9,27,2,4,No
EMP00998,95.8,24,1,5,Yes
EMP00999,95.2,24,3,4,No
EMP01000,76.6,23,4,4,No
EMP01001,94.4,13,2,3,No
EMP01002,92.3,20,3,2,No
EMP01003,88.5,15,3,3,Yes
EMP01004,99.8,26,3,4,No
EMP01005,94.6,2,5,3,No
EMP01006,76.4,16,2,4,No
EMP01007,88.5,20,4,1,Yes
EMP01008,83.2,27,1,2,No
EMP01009,82.6,20,1,4,No
EMP01010,90.5,20,4,5,No
EMP01011,78.7,0,2,3,No
EMP01012,85.5,0,1,5,Yes
EMP01013,80.1,1,1,4,No
EMP01014,92.0,11,1,3,Yes
EMP01015,98.6,27,2,4,No
EMP01016,80.1,14,5,4,No
EMP01017,78.0,9,2,4,No
EMP01018,90.0,18,3,4,No
EMP01019,91.9,30,5,5,No
EMP01020,85.0,19,2,2,Yes
EMP01021,97.2,26,5,1,No
EMP01022,92.8,12,5,4,Yes
EMP01023,82.3,0,1,5,No
EMP01024,92.6,3,3,3,No
EMP01025,96.4,12,2,1,No
EMP01026,75.6,25,2,4,No
EMP01027,91.8,7,4,1,No
EMP01028,97.0,0,4,4,No
EMP01029,83.5,9,1,1,No
EMP01030,89.5,19,3,1,No
EMP01031,87.1,1,1,1,No
EMP01032,77.5,24,2,3,No
EMP01033,86.9,26,4,5,Yes
EMP01034,99.6,16,3,2,No
EMP01035,88.9,23,5,5,No
EMP01036,76.5,28,2,4,No
EMP01037,76.9,11,2,3,No
EMP01038,79.6,13,4,3,No
EMP01039,79.6,9,5,4,No
EMP01040,75.5,19,3,1,No
EMP01041,88.3,18,2,3,No
EMP01042,80.4,21,3,4,Yes
EMP01043,95.0,13,4,1,No
EMP01044,86.9,29,2,3,No
EMP01045,88.6,23,4,3,No
EMP01046,88.8,22,1,4,No
EMP01047,77.6,17,5,5,No
EMP01048,75.8,6,2,3,No
EMP01049,91.2,17,2,4,Yes
EMP01050,88.8,18,1,3,No
EMP01051,95.6,28,3,5,Yes
EMP01052,84.1,2,1,5,No
EMP01053,95.7,10,5,2,No
EMP01054,91.3,13,3,3,No
EMP01055,81.9,17,3,3,No
EMP01056,77.9,1,4,4,No
EMP01057,80.8,0,2,2,No
EMP01058,77.7,6,2,4,No
EMP01059,82.6,29,3,5,No
EMP01060,86.0,17,2,1,No
EMP01061,91.4,29,2,3,No
EMP01062,90.0,13,2,2,No
EMP01063,91.7,5,1,3,No
EMP01064,86.6,25,5,2,Yes
EMP01065,99.0,22,5,4,No
EMP01066,82.9,6,5,3,No
EMP01067,78.4,13,3,5,No
EMP01068,84.9,23,1,3,No
EMP01069,83.2,16,3,3,No
EMP01070,78.9,24,4,3,Yes
EMP01071,89.2,4,5,4,No
EMP01072,85.7,3,3,4,No
EMP01073,95.8,18,2,3,No
EMP01074,94.2,28,4,2,No
EMP01075,97.2,0,2,5,No
EMP01076,81.3,22,2,2,No
EMP01077,89.7,1,5,2,Yes
EMP01078,86.3,19,3,3,No
EMP01079,94.2,22,3,2,No
EMP01080,88.6,3,2,2,No
EMP01081,98.1,10,3,3,No
EMP01082,90.4,3,4,4,No
EMP01083,89.0,24,5,5,No
EMP01084,91.9,27,1,4,No
EMP01085,81.5,23,5,1,No
EMP01086,76.6,11,5,3,No
EMP01087,94.9,7,4,4,No
EMP01088,75.4,23,3,3,No
EMP01089,76.7,25,2,5,Yes
EMP01090,82.3,3,1,1,No
EMP01091,99.5,15,5,1,No
EMP01092,78.6,10,3,2,Yes
EMP01093,83.6,20,3,2,No
EMP01094,94.4,10,3,3,No
EMP01095,81.0,4,3,5,No
EMP01096,89.9,3,1,4,No
EMP01097,88.9,1,5,1,No
EMP01098,82.7,20,4,3,No
EMP01099,93.5,4,2,4,No
EMP01100,92.2,8,5,1,No
EMP01101,92.0,15,2,4,No
EMP01102,90.1,15,4,1,No
EMP01103,86.4,13,4,4,No
EMP01104,81.8,27,5,1,Yes
EMP01105,76.4,19,1,3,Yes
EMP01106,95.6,9,3,2,No
EMP01107,76.0,10,5,2,No
EMP01108,96.2,0,3,5,No
EMP01109,87.7,24,2,4,Yes
EMP01110,80.7,20,1,5,No
EMP01111,87.7,12,3,4,No
EMP01112,76.4,8,5,4,No
EMP01113,86.1,11,1,4,No
EMP01114,83.2,13,5,5,No
EMP01115,99.6,18,5,4,Yes
EMP01116,81.0,11,5,1,No
EMP01117,81.1,15,3,2,No
EMP01118,84.3,11,1,2,No
EMP01119,83.3,10,2,2,No
EMP01120,93.9,0,1,5,No
EMP01121,87.6,28,2,2,No
EMP01122,97.9,21,4,3,No
EMP01123,92.8,21,3,5,No
EMP01124,85.8,17,5,3,Yes
EMP01125,94.5,16,5,1,No
EMP01126,97.6,19,2,4,No
EMP01127,85.6,13,5,5,No
EMP01128,84.8,3,3,2,Yes
EMP01129,79.6,26,4,5,No
EMP01130,78.7,29,5,1,No
EMP01131,76.9,4,4,2,No
EMP01132,87.7,12,4,2,No
EMP01133,94.0,0,5,4,Yes
EMP01134,77.3,11,3,3,No
EMP01135,95.7,18,3,4,Yes
EMP01136,90.8,19,3,5,No
EMP01137,90.6,21,4,4,No
EMP01138,96.6,30,4,4,No
EMP01139,89.4,29,1,5,No
EMP01140,80.4,7,4,5,No
EMP01141,95.7,29,2,3,No
EMP01142,92.8,8,5,4,No
EMP01143,78.8,16,5,3,No
EMP01144,79.0,24,5,1,No
EMP01145,95.1,24,2,3,Yes
EMP01146,94.1,20,2,5,No
EMP01147,87.2,19,3,2,No
EMP01148,95.6,4,2,4,Yes
EMP01149,92.8,17,4,5,No
EMP01150,77.6,20,4,4,No
EMP01151,89.8,13,3,2,No
EMP01152,85.2,13,4,5,No
EMP01153,85.0,11,1,3,No
EMP01154,89.2,23,5,2,No
EMP01155,78.6,9,3,3,Yes
EMP01156,89.2,13,3,1,No
EMP01157,80.9,8,1,4,No
EMP01158,79.6,8,1,4,No
EMP01159,88.5,0,4,1,No
EMP01160,91.8,17,3,3,Yes
EMP01161,95.2,1,3,5,No
EMP01162,87.9,1,4,5,No
EMP01163,76.3,27,4,1,No
EMP01164,99.0,24,5,2,No
EMP01165,85.2,14,4,3,No
EMP01166,99.8,27,1,5,No
EMP01167,95.6,30,2,5,No
EMP01168,81.6,13,1,3,No
EMP01169,99.7,24,2,4,No
EMP01170,89.5,9,5,2,No
EMP01171,86.7,30,3,3,No
EMP01172,83.7,15,2,1,No
EMP01173,91.7,16,1,2,No
EMP01174,75.1,26,3,3,No
EMP01175,85.2,15,1,3,Yes
EMP01176,98.1,27,5,3,No
EMP01177,95.2,6,1,3,No
EMP01178,89.5,28,1,2,No
EMP01179,93.7,3,5,1,No
EMP01180,78.7,14,1,5,No
EMP01181,89.6,25,3,3,Yes
EMP01182,96.3,30,2,4,Yes
EMP01183,91.4,29,5,4,No
EMP01184,75.5,22,1,4,No
EMP01185,91.4,14,5,1,No
EMP01186,95.7,26,2,5,No
EMP01187,99.5,29,2,1,No
EMP01188,82.5,20,4,3,No
EMP01189,98.7,14,2,4,No
EMP01190,94.2,22,2,1,No
EMP01191,85.0,22,5,5,No
EMP01192,88.0,2,3,4,No
EMP01193,99.3,27,3,2,No
EMP01194,80.2,0,1,4,No
EMP01195,75.5,1,5,1,Yes
EMP01196,89.1,25,2,1,Yes
EMP01197,84.4,27,3,2,No
EMP01198,86.3,10,2,2,No
EMP01199,86.9,16,5,1,No
EMP01200,79.6,2,5,1,No
EMP01201,93.2,27,1,3,No
EMP01202,86.8,26,2,2,No
EMP01203,87.0,1,3,5,No
EMP01204,86.1,9,4,2,No
EMP01205,89.6,20,5,3,No
EMP01206,97.9,1,5,3,No
EMP01207,76.0,25,1,4,No
EMP01208,80.5,9,4,5,No
EMP01209,94.6,21,1,4,No
EMP01210,81.5,22,4,3,Yes
EMP01211,82.5,30,1,4,No
EMP01212,98.2,23,3,5,No
EMP01213,95.7,4,1,1,No
EMP01214,80.3,6,4,5,No
EMP01215,76.9,19,4,2,No
EMP01216,98.0,1,1,4,No
EMP01217,96.4,16,3,2,No
EMP01218,98.1,5,3,1,No
EMP01219,91.6,9,4,4,No
EMP01220,94.2,16,3,1,No
EMP01221,87.5,1,4,3,No
EMP01222,80.6,18,4,4,No
EMP01223,94.6,24,5,3,No
EMP01224,78.5,23,5,4,No
EMP01225,97.9,21,2,5,No
EMP01226,82.6,7,4,2,No
EMP01227,81.4,3,4,1,Yes
EMP01228,91.7,1,5,2,No
EMP01229,88.0,29,4,3,No
EMP01230,85.9,3,2,2,Yes
EMP01231,77.7,30,4,4,No
EMP01232,84.4,10,2,3,No
EMP01233,83.3,7,3,2,No
EMP01234,89.5,0,2,4,No
EMP01235,96.7,17,4,5,No
EMP01236,97.4,2,5,5,Yes
EMP01237,78.5,2,4,5,No
EMP01238,83.5,21,2,2,No
EMP01239,77.3,23,4,4,No
EMP01240,96.4,21,1,4,No
EMP01241,84.4,9,4,2,No
EMP01242,96.1,4,3,3,No
EMP01243,92.5,19,2,5,No
EMP01244,80.1,28,2,3,No
EMP01245,82.0,21,3,1,No
EMP01246,94.5,14,3,2,No
EMP01247,89.9,27,2,4,No
EMP01248,87.0,11,1,1,No
EMP01249,96.6,29,3,2,No
EMP01250,87.3,9,5,2,No
EMP01251,75.0,7,2,1,No
EMP01252,89.4,29,4,4,No
EMP01253,86.0,11,4,5,No
EMP01254,79.8,21,3,2,No
EMP01255,79.7,15,2,5,No
EMP01256,82.8,3,5,1,No
EMP01257,95.7,11,3,1,No
EMP01258,85.0,2,2,2,No
EMP01259,76.0,13,1,5,No
EMP01260,98.0,9,2,3,No
EMP01261,84.0,16,3,5,No
EMP01262,76.7,20,5,5,No
EMP01263,90.9,21,4,4,No
EMP01264,96.9,29,3,4,No
EMP01265,97.3,11,3,3,Yes
EMP01266,80.6,5,1,2,No
EMP01267,98.3,27,2,1,No
EMP01268,92.9,22,5,2,No
EMP01269,76.7,8,4,5,No
EMP01270,81.7,15,1,4,No
EMP01271,98.2,6,3,3,Yes
EMP01272,75.4,12,2,4,No
EMP01273,82.2,22,3,3,No
EMP01274,93.8,26,3,4,No
EMP01275,98.5,14,2,5,No
EMP01276,85.0,2,3,2,No
EMP01277,88.4,6,3,1,No
EMP01278,91.8,21,3,5,No
EMP01279,78.6,6,1,2,No
EMP01280,87.2,27,3,2,No
EMP01281,82.0,13,1,3,No
EMP01282,81.9,21,5,3,No
EMP01283,76.4,19,5,5,Yes
EMP01284,98.2,17,2,1,No
EMP01285,80.3,23,4,3,No
EMP01286,91.9,15,3,1,No
EMP01287,93.2,9,3,2,Yes
EMP01288,76.5,2,4,4,No
EMP01289,85.0,24,3,3,No
EMP01290,87.7,10,1,2,No
EMP01291,96.6,2,4,1,Yes
EMP01292,86.0,2,2,2,No
EMP01293,76.0,28,1,5,No
EMP01294,90.2,26,2,3,No
EMP01295,81.9,6,5,5,No
EMP01296,78.5,15,1,1,No
EMP01297,86.1,23,4,3,No
EMP01298,80.4,20,4,5,No
EMP01299,77.3,1,1,1,Yes
EMP01300,99.4,19,1,3,No
EMP01301,76.5,13,3,1,No
EMP01302,98.5,8,3,5,No
EMP01303,98.8,25,3,4,No
EMP01304,87.7,20,1,4,No
EMP01305,82.3,19,2,2,No
EMP01306,85.6,7,4,3,No
EMP01307,99.3,23,1,2,No
EMP01308,97.7,6,4,1,No
EMP01309,83.1,5,5,1,No
EMP01310,93.0,12,3,4,No
EMP01311,79.8,13,2,2,No
EMP01312,92.2,3,2,5,No
EMP01313,84.9,4,4,5,No
EMP01314,84.1,30,4,4,No
EMP01315,89.6,22,1,1,No
EMP01316,89.7,3,4,5,No
EMP01317,78.8,3,5,4,No
EMP01318,75.4,11,1,4,No
EMP01319,95.9,3,4,5,No
EMP01320,97.3,22,4,1,No
EMP01321,99.7,9,1,2,Yes
EMP01322,87.1,0,3,3,No
EMP01323,78.8,14,2,3,No
EMP01324,98.8,21,1,5,No
EMP01325,83.4,6,5,4,No
EMP01326,90.8,13,3,5,No
EMP01327,94.5,21,3,5,No
EMP01328,81.7,1,3,1,No
EMP01329,75.3,1,2,2,No
EMP01330,91.9,26,5,4,Yes
EMP01331,92.3,17,3,1,No
EMP01332,91.2,24,3,2,No
EMP01333,86.2,4,3,2,No
EMP01334,80.1,29,4,1,No
EMP01335,78.7,1,2,1,No
EMP01336,90.5,18,2,4,No
EMP01337,76.2,29,1,4,No
EMP01338,90.7,1,3,5,No
EMP01339,80.9,6,4,3,No
EMP01340,90.9,30,2,3,No
EMP01341,90.7,13,5,2,No
EMP01342,76.7,28,4,2,No
EMP01343,84.9,24,2,4,No
EMP01344,78.4,12,2,3,No
EMP01345,99.8,2,2,1,No
EMP01346,86.6,24,1,3,No
EMP01347,84.4,4,3,3,No
EMP01348,75.5,10,4,4,No
EMP01349,87.6,13,3,2,Yes
EMP01350,81.3,0,4,1,No
EMP01351,85.4,17,4,3,No
EMP01352,94.4,11,1,5,No
EMP01353,88.7,8,1,5,No
EMP01354,77.2,18,1,1,No
EMP01355,82.5,2,2,5,No
EMP01356,86.6,4,5,1,No
EMP01357,93.9,23,3,4,No
EMP01358,95.3,17,3,5,No
EMP01359,91.0,22,5,2,No
EMP01360,83.5,17,4,3,No
EMP01361,90.2,9,5,5,Yes
EMP01362,81.5,21,3,4,No
EMP01363,86.0,5,3,1,No
EMP01364,87.8,27,5,5,No
EMP01365,76.6,26,3,5,No
EMP01366,88.6,8,4,4,No
EMP01367,78.4,18,5,1,No
EMP01368,94.3,26,1,1,No
EMP01369,84.0,20,5,2,Yes
EMP01370,93.5,18,3,1,No
EMP01371,92.0,26,3,4,No
EMP01372,95.3,10,5,2,No
EMP01373,93.7,22,1,5,No
EMP01374,88.5,16,4,3,No
EMP01375,75.9,21,5,5,No
EMP01376,78.0,14,4,3,No
EMP01377,87.7,4,1,3,Yes
EMP01378,77.3,12,1,2,No
EMP01379,87.1,19,2,1,No
EMP01380,89.6,22,5,4,No
EMP01381,89.4,14,5,4,No
EMP01382,76.0,13,5,1,No
EMP01383,83.0,13,4,4,No
EMP01384,95.4,26,5,3,No
EMP01385,94.5,20,4,3,No
EMP01386,81.7,8,5,1,Yes
EMP01387,75.6,2,3,4,No
EMP01388,97.7,4,3,3,No
EMP01389,83.0,29,1,2,No
EMP01390,78.9,15,5,1,No
EMP01391,85.4,24,5,2,No
EMP01392,97.6,17,5,1,No
EMP01393,79.1,3,1,1,No
EMP01394,79.1,18,1,2,No
EMP01395,79.7,26,3,2,No
EMP01396,77.7,10,3,5,No
EMP01397,93.4,20,2,4,No
EMP01398,92.6,18,3,5,No
EMP01399,76.8,20,5,2,No
EMP01400,97.9,21,3,1,No
EMP01401,90.2,7,3,3,No
EMP01402,80.5,12,5,1,No
EMP01403,95.9,5,5,4,Yes
EMP01404,90.0,28,2,2,No
EMP01405,77.0,8,2,4,No
EMP01406,79.0,7,3,2,No
EMP01407,93.8,7,1,2,Yes
EMP01408,93.5,26,3,2,No
EMP01409,87.3,4,5,4,No
EMP01410,87.5,4,1,5,No
EMP01411,80.8,12,2,1,Yes
EMP01412,84.0,25,5,3,No
EMP01413,92.7,14,5,4,No
EMP01414,76.5,11,3,5,No
EMP01415,89.5,17,4,4,No
EMP01416,85.1,6,2,2,No
EMP01417,81.3,11,1,4,No
EMP01418,92.5,28,4,3,No
EMP01419,93.4,5,1,1,No
EMP01420,81.3,25,4,1,No
EMP01421,94.6,15,2,2,No
EMP01422,88.0,9,3,3,No
EMP01423,78.6,7,3,4,No
EMP01424,76.7,30,1,1,No
EMP01425,92.4,22,2,4,No
EMP01426,95.0,21,4,3,No
EMP01427,84.4,8,1,2,No
EMP01428,95.0,2,3,3,No
EMP01429,95.6,2,2,1,Yes
EMP01430,83.8,22,1,5,No
EMP01431,84.8,20,2,3,No
EMP01432,93.7,1,5,3,No
EMP01433,81.3,8,2,4,No
EMP01434,84.8,14,4,5,No
EMP01435,86.3,30,4,4,No
EMP01436,96.8,5,2,5,Yes
EMP01437,97.3,0,3,4,No
EMP01438,97.1,8,5,5,No
EMP01439,91.2,15,1,2,No
EMP01440,81.2,10,2,4,No
EMP01441,93.9,30,3,3,Yes
EMP01442,80.7,2,5,5,No
EMP01443,88.4,8,4,2,No
EMP01444,94.7,26,5,1,No
EMP01445,76.6,17,4,1,No
EMP01446,78.8,11,4,4,No
EMP01447,95.2,13,5,2,No
EMP01448,96.3,0,2,1,No
EMP01449,96.8,12,1,5,No
EMP01450,99.4,15,2,4,No
EMP01451,94.9,23,4,2,No
EMP01452,83.8,6,3,4,No
EMP01453,97.8,26,3,2,No
EMP01454,76.3,21,2,5,No
EMP01455,78.7,30,3,4,No
EMP01456,85.7,5,2,1,No
EMP01457,88.8,23,5,1,No
EMP01458,88.0,23,1,2,Yes
EMP01459,94.1,17,5,4,No
EMP01460,82.6,7,1,5,No
EMP01461,80.7,18,1,1,Yes
EMP01462,86.5,30,4,2,No
EMP01463,92.0,6,2,1,No
EMP01464,92.0,23,3,4,Yes
EMP01465,96.7,1,2,1,Yes
EMP01466,81.8,30,2,4,No
EMP01467,90.0,9,4,1,Yes
EMP01468,78.5,10,3,4,No
EMP01469,88.1,15,3,1,No
EMP01470,82.9,21,2,2,No
EMP01471,76.4,19,2,2,No
EMP01472,97.3,14,4,1,No
EMP01473,92.4,6,2,4,No
EMP01474,94.6,27,2,2,No
EMP01475,98.9,10,4,5,No
EMP01476,94.1,3,1,5,No
EMP01477,95.8,5,3,5,No
EMP01478,88.7,29,2,2,No
EMP01479,81.4,10,5,1,No
EMP01480,83.0,4,4,5,No
EMP01481,75.7,8,1,5,No
EMP01482,89.2,5,1,2,No
EMP01483,79.6,30,2,4,Yes
EMP01484,98.9,2,4,3,No
EMP01485,97.5,1,4,1,No
EMP01486,83.5,12,4,4,No
EMP01487,97.7,24,2,1,No
EMP01488,75.8,14,1,2,Yes
EMP01489,79.5,15,3,2,No
EMP01490,97.7,0,5,5,No
EMP01491,80.5,10,2,5,No
EMP01492,97.1,16,5,4,No
EMP01493,95.9,19,1,1,Yes
EMP01494,82.2,3,1,2,No
EMP01495,92.9,23,1,1,No
EMP01496,90.9,5,5,4,No
EMP01497,95.3,9,1,3,No
EMP01498,76.2,16,5,4,No
EMP01499,98.0,11,5,3,Yes
EMP01500,99.4,23,4,4,No
EMP01501,95.1,3,3,4,Yes
EMP01502,81.2,26,1,4,No
EMP01503,86.7,23,3,4,No
EMP01504,88.0,2,3,4,No
EMP01505,82.8,0,2,1,No
EMP01506,90.8,1,1,3,No
EMP01507,97.7,20,1,2,No
EMP01508,85.5,17,5,5,No
EMP01509,85.4,2,5,2,No
EMP01510,97.3,16,1,2,No
EMP01511,75.8,1,2,2,No
EMP01512,86.9,7,3,5,No
EMP01513,77.8,12,3,3,Yes
EMP01514,79.7,13,1,1,No
EMP01515,91.4,24,2,2,No
EMP01516,94.0,0,2,2,No
EMP01517,90.2,3,2,5,Yes
EMP01518,85.1,24,3,1,Yes
EMP01519,75.9,15,2,2,Yes
EMP01520,98.6,27,4,4,No
EMP01521,88.3,18,4,5,No
EMP01522,95.4,21,3,3,No
EMP01523,82.7,16,2,5,No
EMP01524,84.6,8,2,4,No
EMP01525,84.5,21,4,2,No
